City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Lasa,IT,46.6166,10.7002,44.06,86,5,9.04,clear sky
80,Alofi,NU,-19.0595,-169.9187,73.29,94,94,2.3,overcast clouds
81,Kedrovyy,RU,56.1667,91.8167,-10.14,97,32,3.33,scattered clouds
82,Hamilton,US,39.1834,-84.5333,36.99,57,0,3.0,light rain
83,Hasaki,JP,35.7333,140.8333,34.2,50,95,14.72,overcast clouds
84,Sao Filipe,CV,14.8961,-24.4956,70.99,72,100,12.55,overcast clouds
85,Weligama,LK,5.9667,80.4167,77.58,89,32,6.15,scattered clouds
86,Vung Tau,VN,10.346,107.0843,78.04,80,11,17.0,few clouds
87,Bethel,US,41.3712,-73.414,23.54,51,0,1.99,clear sky
88,Udachnyy,RU,66.4167,112.4,-28.89,100,33,2.82,scattered clouds
89,Siatista,GR,40.2619,21.5442,36.46,49,34,1.92,scattered clouds
90,Zhezkazgan,KZ,47.8043,67.7144,17.71,95,100,7.36,overcast clouds
91,Vila,PT,42.0304,-8.1588,52.7,33,0,2.77,clear sky
92,Kapaa,US,22.0752,-159.319,71.92,76,20,1.01,few clouds
93,Panjakent,TJ,39.4952,67.6093,30.0,78,100,2.15,overcast clouds
94,Thompson,CA,55.7435,-97.8558,1.56,78,100,2.3,overcast clouds
95,Hithadhoo,MV,-0.6,73.0833,82.27,68,100,8.34,overcast clouds
96,Klaksvik,FO,62.2266,-6.589,34.72,93,100,15.86,light snow
97,Cidreira,BR,-30.1811,-50.2056,76.98,57,8,14.83,clear sky
98,Bluff,NZ,-46.6,168.3333,58.8,92,85,2.48,overcast clouds
99,San Patricio,US,28.017,-97.5169,68.41,51,0,8.63,clear sky
100,Charlestown,AU,-32.95,151.6667,70.83,93,45,0.78,scattered clouds
101,Richards Bay,ZA,-28.783,32.0377,75.06,74,40,8.77,scattered clouds
102,Leningradskiy,RU,69.3833,178.4167,-8.52,93,100,1.32,overcast clouds
103,Pimentel,PE,-6.8367,-79.9342,80.89,54,0,13.8,clear sky
104,Vanavara,RU,60.34,102.2797,-15.75,100,99,1.43,overcast clouds
105,Esperance,AU,-33.8667,121.9,71.22,60,59,8.57,light rain
106,Hobart,AU,-42.8794,147.3294,56.26,88,2,5.75,clear sky
107,Nemuro,JP,43.3236,145.575,16.59,69,29,14.76,scattered clouds
108,Kodiak,US,57.79,-152.4072,24.31,74,75,10.36,broken clouds
109,Mar Del Plata,AR,-38.0023,-57.5575,86.02,56,0,21.0,clear sky
110,Soloneshnoye,RU,51.6544,84.3197,11.1,90,90,4.97,overcast clouds
111,Belmonte,BR,-15.8631,-38.8828,88.3,64,74,12.5,broken clouds
112,Sorata,BO,-15.7667,-68.6333,53.51,78,100,7.99,overcast clouds
113,East London,ZA,-33.0153,27.9116,76.14,83,0,14.97,clear sky
114,Pisco,PE,-13.7,-76.2167,75.02,73,0,10.36,clear sky
115,Puerto Ayora,EC,-0.7393,-90.3518,82.36,71,100,9.46,overcast clouds
116,Rocha,UY,-34.4833,-54.3333,81.99,44,7,10.29,clear sky
117,Lima,PE,-12.0432,-77.0282,74.89,77,40,3.0,scattered clouds
118,Avarua,CK,-21.2078,-159.775,78.85,89,75,10.36,broken clouds
119,Tiksi,RU,71.6872,128.8694,-16.71,100,80,4.23,broken clouds
120,Gazanjyk,TM,39.2446,55.5154,44.82,58,15,9.44,few clouds
121,Severo-Kurilsk,RU,50.6789,156.125,26.37,92,100,15.28,light snow
122,Pevek,RU,69.7008,170.3133,-11.36,95,100,1.7,overcast clouds
123,Bitung,ID,1.4451,125.1824,76.05,83,95,9.6,overcast clouds
124,Takoradi,GH,4.8845,-1.7554,82.67,71,92,10.2,overcast clouds
125,Ikorodu,NG,6.6191,3.5041,87.76,43,68,10.22,broken clouds
126,Eyl,SO,7.9803,49.8164,75.76,74,100,16.67,overcast clouds
127,Odoyev,RU,53.9393,36.6864,25.12,95,100,14.23,snow
128,Lompoc,US,34.6391,-120.4579,68.13,53,0,3.0,clear sky
129,Ahipara,NZ,-35.1667,173.1667,60.35,92,100,8.12,overcast clouds
130,Bandarbeyla,SO,9.4942,50.8122,76.1,73,50,16.51,scattered clouds
131,San Carlos,VE,9.6612,-68.5827,93.97,26,38,2.33,scattered clouds
132,Airai,TL,-8.9266,125.4092,61.7,92,97,3.8,overcast clouds
133,Ilulissat,GL,69.2167,-51.1,8.62,66,75,17.27,light shower snow
134,Siquirres,CR,10.0975,-83.5066,85.41,60,84,3.87,broken clouds
135,Lacey,US,47.0343,-122.8232,44.49,81,100,1.01,overcast clouds
136,Caravelas,BR,-17.7125,-39.2481,87.22,61,87,12.86,overcast clouds
137,Tombouctou,ML,20.0,-3.0,85.42,10,83,14.92,broken clouds
138,Georgetown,MY,5.4112,100.3354,83.89,88,20,0.0,few clouds
139,Namibe,AO,-15.1961,12.1522,73.76,72,98,9.28,overcast clouds
140,Nouadhibou,MR,20.931,-17.0347,69.78,64,95,14.97,overcast clouds
141,Chebenki,RU,51.9337,55.7077,28.15,97,100,15.01,light snow
142,Kurdzhinovo,RU,43.9884,40.9552,23.63,87,32,5.32,scattered clouds
143,Naze,JP,28.3667,129.4833,53.29,69,96,19.77,overcast clouds
144,Pringsewu,ID,-5.3582,104.9744,75.2,95,100,1.97,overcast clouds
145,Mlimba,TZ,-8.8,35.8167,74.32,92,70,2.46,moderate rain
146,Shamary,RU,57.3434,58.2199,10.83,97,100,2.26,overcast clouds
147,Katsuura,JP,35.1333,140.3,41.18,65,100,11.12,overcast clouds
148,Carahue,CL,-38.7,-73.1667,68.2,44,68,9.66,broken clouds
149,Teahupoo,PF,-17.8333,-149.2667,67.96,75,100,10.36,overcast clouds
150,Snasa,NO,64.2457,12.3778,24.44,89,100,5.03,overcast clouds
151,Poopo,BO,-18.3667,-66.9667,56.17,60,100,2.21,overcast clouds
152,Solton,RU,52.8429,86.4787,-2.22,100,47,2.44,scattered clouds
153,Naspur,IN,18.8333,79.45,68.34,24,0,1.88,clear sky
154,Chiredzi,ZW,-21.05,31.6667,78.28,48,59,8.23,broken clouds
155,Icara,BR,-28.7133,-49.3,76.91,56,94,6.85,overcast clouds
156,Bengkulu,ID,-3.8004,102.2655,76.51,92,100,4.76,moderate rain
157,Fairbanks,US,64.8378,-147.7164,-28.98,67,0,0.0,light snow
158,Ostrovnoy,RU,68.0531,39.5131,2.75,97,89,8.08,overcast clouds
159,Sarahan,IN,31.5167,77.8,35.62,55,46,6.93,scattered clouds
160,Yakeshi,CN,49.2833,120.7333,-28.17,100,80,2.37,broken clouds
161,Andenes,NO,69.3143,16.1194,24.78,74,75,13.8,broken clouds
162,Buchanan,LR,5.8808,-10.0467,89.56,68,55,11.59,broken clouds
163,Castro,BR,-24.7911,-50.0119,64.71,97,100,6.51,overcast clouds
164,Lata,PT,40.1629,-8.3327,61.21,42,88,3.09,overcast clouds
165,Sao Joao Da Barra,BR,-21.6403,-41.0511,91.49,70,69,6.93,broken clouds
166,Longyearbyen,SJ,78.2186,15.6401,10.24,61,0,19.57,clear sky
167,Oussouye,SN,12.485,-16.5469,96.98,25,73,12.73,broken clouds
168,Saldus,LV,56.6636,22.4881,29.01,92,100,20.74,light snow
169,Surgut,RU,61.25,73.4167,5.18,84,20,8.99,few clouds
170,Talaya,RU,61.3833,152.75,-14.78,99,100,5.06,overcast clouds
171,Fayetteville,US,35.0527,-78.8784,42.71,25,0,7.0,clear sky
172,Yepifan,RU,53.8253,38.5518,24.6,94,100,15.73,snow
173,Mchinji,MW,-13.7984,32.8802,63.79,95,25,1.72,moderate rain
174,Ballina,AU,-28.8667,153.5667,71.78,89,80,5.68,broken clouds
175,Shuyskoye,RU,59.3736,41.0305,14.14,95,100,7.96,overcast clouds
176,Lapithos,CY,35.3375,33.1792,53.22,80,75,13.94,broken clouds
177,Fukue,JP,32.6881,128.8419,45.3,56,9,21.03,clear sky
178,Touros,BR,-5.1989,-35.4608,88.7,63,22,15.86,few clouds
179,Alvorada,BR,-12.48,-49.1247,79.57,77,99,7.31,overcast clouds
180,Genc,TR,38.7507,40.5603,24.57,96,100,3.29,light snow
181,Nisporeni,MD,47.0814,28.1783,39.6,90,39,4.23,scattered clouds
182,Atar,MR,20.5169,-13.0499,91.74,8,100,11.72,overcast clouds
183,Carnarvon,AU,-24.8667,113.6333,80.67,74,9,14.97,clear sky
184,Hualmay,PE,-11.0964,-77.6139,74.8,72,100,9.6,overcast clouds
185,Durango,MX,24.8333,-104.8333,60.1,27,0,5.23,clear sky
186,Kavieng,PG,-2.5744,150.7967,81.05,76,92,2.68,light rain
187,Bambous Virieux,MU,-20.3428,57.7575,80.85,78,75,14.97,light rain
188,Krasnovishersk,RU,60.4078,57.082,3.25,99,98,2.62,overcast clouds
189,Kabare,CD,-2.4683,28.8242,62.96,92,97,2.59,overcast clouds
190,Victoria,HK,22.2855,114.1577,60.33,74,43,1.99,scattered clouds
191,Narsaq,GL,60.9167,-46.05,10.62,61,100,6.17,overcast clouds
192,Sur,OM,22.5667,59.5289,72.86,67,1,3.91,clear sky
193,Kariba,ZW,-16.5167,28.8,71.42,87,95,3.31,overcast clouds
